Age,sexe,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
-25,Male,145,135,116,61,78,97,55,50,34,59,66,66,82,67,76,63,93,70,72,59,53,45,50,37,59
25-29,Male,698,762,477,290,280,271,252,234,199,277,240,236,272,264,230,261,308,288,299,266,269,242,261,220,274
30-34,Male,"1,510","1,679","1,112",741,730,651,619,452,391,463,503,460,489,491,438,404,494,540,501,478,446,446,443,477,560
35-39,Male,"2,099","2,391","1,579","1,171","1,149","1,205","1,075",857,840,897,937,798,884,800,769,707,841,801,819,747,651,649,759,728,793
40-44,Male,"2,804","3,159","2,107","1,534","1,486","1,600","1,467","1,259","1,251","1,432","1,543","1,391","1,603","1,535","1,294","1,270","1,332","1,322","1,389","1,212","1,072","1,028","1,185","1,112","1,239"
45-49,Male,"3,686","4,100","2,850","2,182","2,034","2,127","2,047","1,674","1,792","2,185","2,219","1,976","2,184","2,359","2,014","2,111","2,375","2,310","2,259","2,194","1,883","1,763","1,849","1,819","1,788"
50-54,Male,"5,336","5,542","3,884","2,833","2,785","2,968","2,955","2,531","2,761","3,192","3,153","2,808","3,244","3,243","2,988","3,258","3,365","3,602","3,568","3,623","3,223","3,233","3,661","3,419","3,305"
55-59,Male,"9,012","8,791","5,863","3,692","3,745","3,831","3,849","3,521","3,559","4,410","4,562","4,185","4,665","4,795","4,241","4,525","4,985","4,944","5,323","5,371","5,005","5,034","5,840","5,569","5,632"
60-64,Male,"8,385","7,921","5,048","3,376","3,037","3,279","2,977","2,859","3,053","3,668","3,705","3,302","3,604","3,698","3,530","3,614","4,142","3,865","4,194","4,300","3,574","3,737","4,224","3,876","4,222"
-25,Female,90,118,85,56,38,42,26,28,22,33,28,35,41,49,35,48,47,44,51,44,25,38,18,37,34
25-29,Female,498,538,369,252,237,245,221,186,167,205,222,183,208,271,265,259,261,262,248,254,225,238,240,228,248
30-34,Female,"1,134","1,396","1,032",751,687,664,586,474,489,537,584,478,556,574,550,525,556,614,591,576,523,586,614,597,676
35-39,Female,"1,865","2,131","1,502","1,151","1,152","1,274","1,195","1,081","1,032","1,139","1,130",962,997,"1,155",922,968,982,"1,043",996,"1,020",904,937,"1,139","1,075","1,068"
40-44,Female,"2,620","2,878","2,141","1,616","1,678","1,726","1,690","1,484","1,463","1,749","1,827","1,732","1,898","1,885","1,696","1,556","1,637","1,613","1,614","1,579","1,511","1,523","1,662","1,619","1,687"
45-49,Female,"3,337","3,880","2,869","2,103","2,155","2,167","2,158","1,938","2,007","2,420","2,513","2,291","2,577","2,693","2,480","2,551","2,535","2,739","2,866","2,677","2,356","2,227","2,500","2,411","2,496"
50-54,Female,"4,452","4,803","3,378","2,437","2,530","2,722","2,799","2,689","2,615","3,259","3,338","3,001","3,414","3,636","3,310","3,470","3,735","3,857","4,133","4,084","3,846","3,741","4,398","4,126","3,990"
55-59,Female,"5,978","6,159","4,277","2,662","2,571","2,794","2,925","2,651","2,746","3,705","4,045","3,613","4,197","4,631","3,956","4,223","4,454","4,488","5,102","5,273","4,838","4,985","5,867","5,466","5,782"
60-64,Female,"4,322","4,324","2,820","1,799","1,683","1,878","1,796","1,752","1,984","2,444","2,616","2,359","2,854","2,880","2,749","3,171","3,207","3,141","3,405","3,731","3,205","3,272","3,890","3,517","3,661"