Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,113.459999,113.769997,104.080002,110.519997,108.604279,721305500
2016-12-01,110.370003,118.019997,108.25,115.82,114.396751,608703400
2017-01-01,115.800003,122.440002,114.760002,121.349998,119.858795,563122000
2017-02-01,127.029999,137.479996,127.010002,136.990005,135.30661,574968600
2017-03-01,137.889999,144.5,137.050003,143.660004,142.509842,561628400
2017-04-01,143.710007,145.460007,140.059998,143.649994,142.499893,373304100
2017-05-01,145.100006,156.649994,144.270004,152.759995,151.536972,653755300
2017-06-01,153.169998,155.979996,142.199997,144.020004,143.45665,684178100
2017-07-01,144.880005,153.990005,142.410004,148.729996,148.148224,421992400
2017-08-01,149.100006,164.520004,148.410004,164,163.35849,661069000
2017-09-01,164.800003,164.940002,149.160004,154.119995,154.119995,679879200
2017-10-01,154.259995,169.649994,152.460007,169.039993,169.039993,504291300